text,summary
"Hello, how are you?","Hola, ¿cómo estás?"
"This is a test sentence for translation.","Esta es una frase de prueba para la traducción."
"I like to play soccer in the evenings.","Me gusta jugar fútbol por las tardes."
"Good morning! Did you sleep well?","¡Buenos días! ¿Dormiste bien?"
"Where is the nearest restaurant?","¿Dónde está el restaurante más cercano?"
"I am learning to speak Spanish.","Estoy aprendiendo a hablar español."
"Can you help me with this problem?","¿Puedes ayudarme con este problema?"
"I enjoy reading books on weekends.","Disfruto leer libros los fines de semana."
"What time is our meeting tomorrow?","¿A qué hora es nuestra reunión mañana?"
"I would like a cup of coffee.","Me gustaría una taza de café."
"I need directions to the airport.","Necesito direcciones al aeropuerto."
"This weather is perfect for a walk.","Este clima es perfecto para dar un paseo."
"Thank you for your assistance.","Gracias por tu ayuda."
"I am going to the gym later.","Voy al gimnasio más tarde."
"Could you please repeat that?","¿Podrías repetir eso, por favor?"
"Let's meet at the park at 5 PM.","Reunámonos en el parque a las 5 PM."
"She loves to bake cakes on weekends.","Ella ama hornear pasteles los fines de semana."
"The movie was fantastic and thrilling.","La película fue fantástica y emocionante."
"I have two cats and a dog.","Tengo dos gatos y un perro."
"He is studying computer science at university.","Está estudiando informática en la universidad."
"Can you recommend a good book?","¿Puedes recomendarme un buen libro?"
"I traveled to Spain last summer.","Viajé a España el verano pasado."
"Learning a new language is challenging.","Aprender un nuevo idioma es desafiante."
"The food at the restaurant was delicious.","La comida en el restaurante estuvo deliciosa."
"I work as a software developer.","Trabajo como desarrollador de software."
"Do you like to cook?","¿Te gusta cocinar?"
"My favorite hobby is painting.","Mi pasatiempo favorito es pintar."
"We are planning a trip to the mountains.","Estamos planeando un viaje a las montañas."
"He plays the guitar beautifully.","Él toca la guitarra hermosamente."
"They moved to a new city recently.","Se mudaron a una nueva ciudad recientemente."
"Please open the window.","Por favor, abre la ventana."
"I need to finish my homework.","Necesito terminar mi tarea."
"Can you pass the salt?","¿Puedes pasar la sal?"
