source,target
"'It will all ""shape itself,"" all ""shape itself'... I assure you!'","Te aseguro que todo se arreglará, todo..."
"""So then,"" said Sancho, ""it would be entirely of your own choice you would keep from sleeping; not in opposition to my will?""","-De modo -dijo Sancho- que no dejaréis de dormir por otra cosa que por vuestra voluntad, y no por contravenir a la mía."
"""Let us talk a little,"" said she.",Hablemos un poco dijo ella.
"""It is quite certain that he knows nothing whatever about the matter.",Es indudable que no sabe nada del asunto.
"""It is strange,"" replied Elinor, in a most painful perplexity, ""that I should never have heard him even mention your name.""","-Es extraño -replicó Elinor, sumida en una dolorosa perplejidad- que nunca le haya escuchado ni siquiera mencionar su nombre."
"""An accident, I presume?""",––Supongo que fue un accidente.
"The tears ran down her cheeks, he stooped over her hand and began kissing it, trying to hide the emotion which he knew to be groundless but could not master.","Las lágrimas brotaban sin cesar de sus ojos. Vronsky se inclinó sobre su mano y la besó, tratando en vano de dominar su emoción, la cual –lo sentía bien– no tenía ningún fundamento."
"'I envy him because he is better than I am,' replied he, smiling.",–Le envidio porque vale más que yo –contestó Levin sonriendo–.
"_June_ 20.—No rest all night; violent pains in my head, and feverish.","20 de junio. No pude descansar en toda la noche, fuertes dolores de cabeza y fiebre."
"'Explain all that,' said the Mock Turtle.",--¡Es un galimatías! Explica todo esto --dijo la Falsa Tortuga.
"It might be two hours later, probably near eleven, when I--not having been able to fall asleep, and deeming, from the perfect silence of the dormitory, that my companions were all wrapt in profound repose--rose softly, put on my frock over my night-dress, and, without shoes, crept from the apartment, and set off in quest of Miss Temple's room.","No pude conciliar el sueño y, unas dos horas más tarde, cuando sentí que todas mis compañeras dormían, me levanté sin miedo, me puse el vestido sobre la ropa de noche y, descalza, salí en busca del cuarto de Miss Temple. Estaba al otro extremo de la casa, pero yo conocía el camino y, a la luz de una espléndida luna de verano que entraba, aquí y allá, por las ventanas de los corredores, me orienté sin dificultades."
"""No, I have left off laughing, now that you speak French.""",Yo no río desde que vos habláis francés.
"She, misunderstanding that look, smiled at him.","Ana, interpretando en otro sentido esta mirada, le sonrió."
"""Thank God!",-¡Gracias a Dios!
"Mrs. Dashwood, not less watchful of what passed than her daughter, but with a mind very differently influenced, and therefore watching to very different effect, saw nothing in the Colonel's behaviour but what arose from the most simple and self-evident sensations, while in the actions and words of Marianne she persuaded herself to think that something more than gratitude already dawned.","Para la señora Dashwood, no menos atenta que su hija a lo que ocurría pero con ideas que iban por muy diferentes rumbos y, por tanto, a la espera de muy distintos efectos, el comportamiento del coronel se originaba en las más simples y obvias sensaciones, mientras en las palabras y gestos de Marianne quería ver el nacimiento de algo más que mera gratitud."
"However, Herbert scarcely suffered at all, and the cold water with which they were constantly bathed, prevented any inflammation of the wounds.","Por lo demás, Harbert casi no sentía dolor y el agua fría con que las bañaban incesantemente impedía la inflamación de las heridas."
Stapleton still looked hard at him. Then he turned to me.,Stapleton seguía mirándolo con gran fijeza.
"He looked at me with a last long, questioning gaze, and then, pressing my hand in a cold, dank grasp, he hurried from the room.","––me dirigió una última mirada, larga e inquisitiva, y después, estrechándome la mano con un apretón frío y húmedo, salió con prisas del despacho."
"The old Princess, conscious that against her, as chief adviser in the matter of jam boiling, Agatha Mikhaylovna's wrath should be directed, tried to look as if she were thinking of other things and was not interested in the raspberries. She talked of other matters, but watched the brazier out of the corner of her eye.","La anciana princesa, comprendiendo que en ella, autora principal de aquella innovación, se centraba el enojo de Agafia Mijailovna, fingía estar ocupada en otras cosas y no interesarse por las fresas, y hablaba de asuntos indiferentes con sus hijos, pero no apartaba la vista del fogón."
On the death of Sir Charles we inquired for this young gentleman and found that he had been farming in Canada.,"Al morir Sir Charles hicimos indagaciones acerca de ese joven, y se descubrió que se había consagrado a la agricultura en Canadá."
"On the other hand, if I should find the hut and its tenant should not be within it I must remain there, however long the vigil, until he returned.","Por otra parte, si encontraba el refugio y su ocupante no estaba dentro, me quedaría allí, por larga que resultara la espera, hasta que regresase."
"His fearsome submersible served not only his quest for freedom, but also, perhaps, it was used in lord-knows-what schemes of dreadful revenge.","¡Su formidable aparato no era solamente un vehículo para sus instintos de libertad, sino también, tal vez, un instrumento puesto al servicio de no sé qué terribles represalias!"
"""And who is this Captain Calhoun?""",––¿Y quién es este capitán Calhoun?
